engine,metric,nprobes,recall,qps
sirius,l2,8,0.6158,186.7
sirius,l2,16,0.7623,189.1
sirius,l2,32,0.8823,185.6
sirius,l2,64,0.9574,177.9
sirius,l2,128,0.9907,166.4
sirius,l2,256,0.9989,144.9
sirius,cosine,8,0.6202,185.8
sirius,cosine,16,0.7552,184.9
sirius,cosine,32,0.8715,183.5
sirius,cosine,64,0.9499,178.8
sirius,cosine,128,0.9862,165.9
sirius,cosine,256,0.9963,145.6
lance,l2,8,0.6267,25.8
lance,l2,16,0.7753,22.2
lance,l2,32,0.8868,15.9
lance,l2,64,0.9558,11.5
lance,l2,128,0.9879,7.2
lance,l2,256,0.9980,4.1
lance,cosine,8,0.6207,22.3
lance,cosine,16,0.7490,19.3
lance,cosine,32,0.8655,15.2
lance,cosine,64,0.9403,11.7
lance,cosine,128,0.9833,8.0
lance,cosine,256,0.9969,5.0
duckdb,l2,10,0.3910,135.8
duckdb,l2,20,0.5276,140.4
duckdb,l2,40,0.6584,120.9
duckdb,l2,80,0.7710,97.3
duckdb,l2,160,0.8625,89.2
duckdb,l2,320,0.9269,64.7
duckdb,cosine,10,0.3974,138.3
duckdb,cosine,20,0.5384,132.2
duckdb,cosine,40,0.6684,119.7
duckdb,cosine,80,0.7908,104.7
duckdb,cosine,160,0.8800,81.8
duckdb,cosine,320,0.9405,53.1
